IMDbID,Country,Rating
tt15314262,Argentina,16
tt15314262,Australia,MA15+
tt15314262,Austria,16
tt15314262,Brazil,18
tt15314262,Canada,14A
tt15314262,Canada,14A
tt15314262,Canada,14A
tt15314262,Canada,13+
tt15314262,Denmark,15
tt15314262,Finland,K-16
tt15314262,Germany,18
tt15314262,Hong Kong,IIB
tt15314262,Hungary,18
tt15314262,Ireland,15A
tt15314262,Lithuania,N-16
tt15314262,Luxembourg,16
tt15314262,Malaysia,P16
tt15314262,Mexico,B15
tt15314262,Netherlands,16
tt15314262,New Zealand,R16
tt15314262,Norway,15
tt15314262,Philippines,R-13
tt15314262,Portugal,M/14
tt15314262,Singapore,M18
tt15314262,Spain,16
tt15314262,Switzerland,16
tt15314262,Taiwan,15+
tt15314262,Turkey,16+
tt15314262,United Kingdom,15
tt15314262,United States,R
tt15314262,Vietnam,T18
